filename	run	archive_idx	fitness
game_241_fit0.048_seed_3.lud	main_experiment_seed_3_05_18_24	372	0.0481
game_242_fit0.048_seed_3.lud	main_experiment_seed_3_05_18_24	381	0.0481
game_243_fit0.048_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	579	0.0481
game_244_fit0.048_ucb_ludeme_seed_3.lud	main_experiment_ucb_ludeme_seed_3_05_18_24	707	0.0481
game_245_fit0.048_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	495	0.0481
game_246_fit0.048_seed_3.lud	main_experiment_seed_3_05_18_24	371	0.0481
game_247_fit0.048_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	482	0.0481
game_248_fit0.048_seed_3.lud	main_experiment_seed_3_05_18_24	332	0.0481
game_249_fit0.048_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	485	0.0481
game_250_fit0.048_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	466	0.0481
game_251_fit0.048_seed_2.lud	main_experiment_seed_2_05_18_24	231	0.0480
game_252_fit0.048_seed_2.lud	main_experiment_seed_2_05_18_24	259	0.0480
game_253_fit0.048_seed_3.lud	main_experiment_seed_3_05_18_24	389	0.0480
game_254_fit0.048_seed_1.lud	main_experiment_seed_1_05_18_24	62	0.0480
game_255_fit0.048_ucb_ludeme_seed_1.lud	main_experiment_ucb_ludeme_seed_1_05_18_24	499	0.0479
game_256_fit0.048_seed_3.lud	main_experiment_seed_3_05_18_24	287	0.0478
game_257_fit0.047_ucb_ludeme_seed_2.lud	main_experiment_ucb_ludeme_seed_2_05_18_24	625	0.0474
